Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects
14-18,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Benzoyl Peroxide + Salicylic Acid,0.5% + 2% + 5%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Dry,Yes,Acne,Inflammatory,Zinc PCA + Benzoyl Peroxide + Niacinamide,0.5% + 5% + 1%,"Controls sebum production, Kills acne-causing bacteria, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Acne,Nodular,Zinc PCA + Azelaic Acid + Salicylic Acid,10% + 1% + 5%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Dry,Yes,Acne,Cystic,Benzoyl Peroxide + Niacinamide + Azelaic Acid,10% + 1% + 8%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
14-18,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,Hyaluronic Acid + Caffeine + Vitamin C,3% + 2% + 0.5%,"Hydrates and plumps the skin, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,Yes,Dark Circles,Vascular,Vitamin C + Niacinamide + Caffeine,8% + 0.5% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
14-18,Normal,Normal to Dry,Yes,Dark Spots,General,Alpha Arbutin + Niacinamide + Vitamin C,0.5% + 8% + 3%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,Yes,Dullness,General,Vitamin C + Lactic Acid + Green Tea Extract,0.5% + 5% + 8%,"Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits"
14-18,Normal,Normal to Dry,Yes,Hyperpigmentation,General,Alpha Arbutin + Vitamin C + Niacinamide,3% + 1% + 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Open Pores,General,Azelaic Acid + Salicylic Acid + Green Tea Extract,10% + 2% + 0.5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
14-18,Normal,Normal to Dry,Yes,Redness,General,Chamomile Extract + Aloe Vera + Niacinamide,10% + 0.5% + 5%,"Calms redness and irritation, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Sun Tan,General,Vitamin C + Alpha Arbutin + Aloe Vera,3% + 5% + 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin"
14-18,Normal,Normal to Dry,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Niacinamide,0.5% + 10% + 8%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Wrinkles,General,Niacinamide + Hyaluronic Acid + Peptides,0.5% + 2% + 1%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves skin elasticity and firmness"
14-18,Normal,Normal to Dry,No,Acne,Comedonal,Green Tea Extract + Salicylic Acid + Niacinamide,1% + 0.5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,No,Acne,Inflammatory,Salicylic Acid + Benzoyl Peroxide + Zinc PCA,3% + 2% + 10%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production"
14-18,Normal,Normal to Dry,No,Acne,Nodular,Azelaic Acid + Green Tea Extract + Benzoyl Peroxide,1% + 3% + 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
14-18,Normal,Normal to Dry,No,Acne,Cystic,Green Tea Extract + Zinc PCA + Azelaic Acid,0.5% + 3% + 1%,"Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Reduces acne and improves skin texture"
14-18,Normal,Normal to Dry,No,Dark Circles,Pigmented,Vitamin C + Vitamin K + Niacinamide,3% + 8% + 1%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,No,Dark Circles,Vascular,Licorice Extract + Vitamin K + Vitamin C,2% + 0.5% + 10%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,No,Dark Spots,General,Licorice Extract + Vitamin C + Kojic Acid,2% + 1% + 8%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration"
14-18,Normal,Normal to Dry,No,Dullness,General,Lactic Acid + Green Tea Extract + Hyaluronic Acid,2% + 0.5% + 8%,"Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin"
14-18,Normal,Normal to Dry,No,Hyperpigmentation,General,Alpha Arbutin + Tranexamic Acid + Licorice Extract,10% + 1% + 0.5%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Dry,No,Open Pores,General,Niacinamide + Azelaic Acid + Clay,3% + 5% + 2%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores"
14-18,Normal,Normal to Dry,No,Redness,General,Aloe Vera + Centella Asiatica + Chamomile Extract,2% + 0.5% + 3%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation"
14-18,Normal,Normal to Dry,No,Sun Tan,General,Licorice Extract + Aloe Vera + Alpha Arbutin,1% + 2% + 5%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Dry,No,Whiteheads / Blackheads,General,Salicylic Acid + Willow Bark Extract + Niacinamide,10% + 2% + 8%,"Unclogs pores and removes excess oil, Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum"
